timestamp,amplitude
1774605275.8424878,615
1774605275.858383,402
1774605275.8743749,241
1774605275.8911593,187
1774605275.9072106,182
1774605275.9236948,227
1774605275.9385712,248
1774605275.9544094,254
1774605275.9705687,323
1774605275.9870503,376
1774605276.003065,372
1774605276.0190964,392
1774605276.0350134,420
1774605276.0508883,434
1774605276.0667365,516
1774605276.0827816,664
1774605276.0986917,977
1774605276.1150374,1163
1774605276.1308846,1309
1774605276.1467516,1434
1774605276.1629906,1358
1774605276.1786127,1072
1774605276.1947362,884
1774605276.2106981,696
1774605276.2268615,550
1774605276.2429605,490
1774605276.2585487,496
1774605276.2743826,556
1774605276.2908585,646
1774605276.3070369,661
1774605276.3230312,716
1774605276.3391283,696
1774605276.3551714,615
1774605276.370682,484
1774605276.3869565,330
1774605276.4030247,193
1774605276.4189627,126
1774605276.4350357,107
1774605276.451036,104
1774605276.467116,114
1774605276.482099,125
1774605276.4983888,137
1774605276.5146525,147
1774605276.5313437,157
1774605276.54703,160
1774605276.5631263,166
1774605276.579084,169
1774605276.5951056,169
1774605276.61045,169
1774605276.6265268,168
1774605276.642383,169
1774605276.658321,167
1774605276.6742957,170
1774605276.6903832,168
1774605276.7067113,165
1774605276.7223327,162
1774605276.7384534,157
1774605276.7542055,154
1774605276.7702348,150
1774605276.786198,147
1774605276.8022718,141
1774605276.818663,136
1774605276.8347828,131
1774605276.8507113,125
1774605276.8669894,122
1774605276.8825958,117
1774605276.8986702,115
1774605276.914951,109
1774605276.9310691,105
1774605276.9471464,101
1774605276.9630065,97
1774605276.9791276,94
1774605276.994995,88
1774605277.0104947,84
1774605277.0265398,79
1774605277.0424457,75
1774605277.058343,72
1774605277.0742347,68
1774605277.0905366,65
1774605277.1061578,61
1774605277.122202,59
1774605277.1382496,57
1774605277.1543024,57
1774605277.1702194,54
1774605277.1862524,53
1774605277.2021823,49
1774605277.2182078,46
1774605277.2342563,44
1774605277.2503457,43
1774605277.2662535,42
1774605277.282211,40
1774605277.2983456,39
1774605277.314248,36
1774605277.3302774,36
1774605277.3462524,34
1774605277.3622425,33
1774605277.378122,32
1774605277.3940828,32
1774605277.410117,30
1774605277.4261365,30
1774605277.4422414,31
1774605277.4581163,28
1774605277.474431,27
1774605277.490586,25
1774605277.5063546,26
1774605277.5223465,24
1774605277.5385215,25
1774605277.5544722,25
1774605277.5703514,25
1774605277.5862763,24
1774605277.6023674,22
1774605277.6184921,22
1774605277.6343975,20
1774605277.6504207,22
1774605277.6666942,22
1774605277.6826415,22
1774605277.698947,23
1774605277.715004,23
1774605277.731288,23
1774605277.7470946,23
1774605277.76321,23
1774605277.7791138,23
1774605277.79581,25
1774605277.8111198,24
1774605277.827037,23
1774605277.843083,24
1774605277.8591154,24
1774605277.874676,24
1774605277.8905349,22
1774605277.906369,25
1774605277.9231126,24
1774605277.939103,26
1774605277.9549654,27
1774605277.9711177,30
1774605277.9871662,34
1774605278.0028954,50
1774605278.0186398,79
1774605278.0350184,97
1774605278.0509138,197
1774605278.0666745,459
1774605278.082911,807
1774605278.099113,1111
1774605278.1151998,1468
1774605278.1311903,1751
1774605278.1472476,1654
1774605278.163178,1395
1774605278.179203,1137
1774605278.195144,835
1774605278.2111855,513
1774605278.2272425,404
1774605278.2432148,373
1774605278.2589345,352
1774605278.2748864,331
1774605278.2907307,349
1774605278.3066626,336
1774605278.3228247,308
1774605278.339011,300
1774605278.3549767,274
1774605278.3708901,212
1774605278.3870654,179
1774605278.4029043,177
1774605278.419088,220
1774605278.4351184,359
1774605278.4511337,586
1774605278.4672394,743
1774605278.4833424,852
1774605278.499233,887
1774605278.5153868,807
1774605278.5312302,625
1774605278.5472782,502
1774605278.5632246,389
1774605278.5792634,287
1774605278.594694,214
1774605278.6112142,161
1774605278.6272535,117
1774605278.643085,84
1774605278.6591952,72
1774605278.6751778,69
1774605278.690576,77
1774605278.7066085,87
1774605278.7226615,94
1774605278.7392719,102
1774605278.7553172,109
1774605278.770732,114
1774605278.7869265,117
1774605278.802755,122
1774605278.8187144,123
1774605278.8345842,125
1774605278.8507235,122
1774605278.8665106,124
1774605278.8823888,134
1774605278.8984075,147
1774605278.914441,168
1774605278.9304867,204
1774605278.9467344,227
1774605278.9628127,248
1774605278.978924,296
1774605278.9950936,371
1774605279.011216,417
1774605279.027369,455
1774605279.0432703,543
1774605279.0592663,522
1774605279.0752423,437
1774605279.090772,357
1774605279.1067188,297
1774605279.1226397,175
1774605279.1391351,148
1774605279.155115,161
1774605279.1709485,261
1774605279.1869614,440
1774605279.2030935,564
1774605279.2189417,684
1774605279.2342594,781
1774605279.2509043,786
1774605279.2673585,687
1774605279.2832212,584
1774605279.2993739,453
1774605279.3146298,334
1774605279.3306766,225
1774605279.3471375,203
1774605279.3632572,233
1774605279.379301,280
1774605279.3948348,316
1774605279.4107802,352
1774605279.4268692,313
1774605279.4428718,285
1774605279.459277,246
1774605279.4753761,205
1774605279.4907303,165
1774605279.5066633,132
1774605279.52266,100
1774605279.5386746,74
1774605279.5545425,66
1774605279.5705757,62
1774605279.5866165,62
1774605279.6026149,66
1774605279.618464,69
1774605279.6346326,76
1774605279.650649,77
1774605279.666635,80
1774605279.68256,80
1774605279.6986206,84
1774605279.7146053,80
1774605279.7306628,83
1774605279.7465649,84
1774605279.7625134,84
1774605279.7786276,85
1774605279.7945106,85
1774605279.8104212,83
1774605279.8263605,79
1774605279.8425496,76
